Time,Visibility,TestResult
67.6,Visibl,Success
83.8,Visibl,Success
75.7,Visibl,Success
84.9,Visibl,Success
54.8,Visibl,Success
46.3,Visibl,Success
75.9,Visibl,Success
51.4,Visibl,Success
87,Visibl,Success
104.3,Visibl,Success
79.1,NotVis,Success
106.2,NotVis,Success
87.2,NotVis,Success
104.5,NotVis,Success
100.5,NotVis,Success
65.7,NotVis,Success
99.6,NotVis,Success
105.3,NotVis,Success
93.3,NotVis,Success
55,NotVis,Success
118.7,Visibl,Failure
125.9,Visibl,Failure
127.1,Visibl,Failure
141.3,Visibl,Failure
153.9,Visibl,Failure
169.4,Visibl,Failure
171.2,Visibl,Failure
120.4,Visibl,Failure
137.6,Visibl,Failure
143.2,Visibl,Failure
76.2,NotVis,Failure
90.3,NotVis,Failure
83.3,NotVis,Failure
46.2,NotVis,Failure
83.4,NotVis,Failure
62,NotVis,Failure
85,NotVis,Failure
64.8,NotVis,Failure
37.9,NotVis,Failure
96.4,NotVis,Failure
