Income,Gender,Health
8400,2,3
17510,2,3
19200,2,2
42717,2,3
5000,1,4
30000,2,3
18000,1,5
14400,1,3
141000,2,2
92000,1,1
35000,1,1
9000,2,5
40400,1,2
88000,2,2
43000,1,1
115000,1,4
39000,2,2
35000,1,1
69600,2,3
95000,2,4
61000,2,3
88000,2,2
32000,2,1
19382,2,3
57600,2,3
15000,1,2
209000,1,2
61152,1,1
65000,1,2
44750,1,2
84000,1,1
14400,1,3
44800,1,3
37500,2,1
35000,1,1
84000,1,1
15740,2,2
35000,2,2
81328,2,3
25748,2,1
61000,2,3
35000,2,3
25940,2,5
24000,2,3
40400,1,2
50000,2,3
39000,2,3
58000,2,3
58000,2,3
76000,1,3
40000,2,2
11500,2,3
67280,1,1
110000,2,2
98000,2,3
58000,2,2
32000,2,1
93000,1,1
64000,1,2
41500,1,3
60000,2,3
18000,1,5
17400,2,2
97000,1,3
41000,1,3
41000,1,3
43000,1,1
92000,1,1
126156,1,3
35000,1,2
57000,2,3
78000,2,1
9750,1,4
44000,2,1
70000,2,2
115000,1,4
21180,2,3
209000,1,2
76000,1,3
8750,1,4
32000,2,1
30000,2,3
39000,2,2
19200,2,2
50000,2,3
93000,1,1
101000,1,2
15120,2,3
25748,2,1
32000,2,1
17510,2,3
65000,1,2
39000,2,3
61000,2,3
35000,2,2
17510,2,3
162500,2,2
160000,2,1
110000,2,2
103200,2,3
101000,1,2
52000,1,3
84000,2,5
69600,2,3
98000,2,3
17510,2,3
32000,2,1
92000,1,1
18000,1,5
41800,2,3
40000,2,2
32000,2,3
18000,1,5
50000,2,3
32000,2,1
16000,2,1
37500,2,1
15740,2,2
88000,2,2
44750,1,2
126156,1,3
90000,1,2
40000,2,3
37500,2,1
97200,2,2
30000,2,3
21180,2,3
162500,2,2
52000,1,3
41000,1,3
97200,2,2
209000,1,2
14000,2,3
21000,2,1
25500,2,2
37000,1,1
57000,2,3
60000,2,3
24000,2,3
88000,2,2
1440,1,4
110000,2,2
42000,2,3
49000,2,2
61152,1,1
141000,2,2
49000,2,2
18320,2,3
84000,2,5
48000,2,1
19200,2,2
61000,2,2
69600,2,3
42000,2,2
126156,1,3
16000,2,1
23400,2,2
50000,1,2
25748,2,1
79000,1,2
101000,1,2
8750,1,4
84000,1,1
42000,2,2
60000,2,3
18320,2,3
25940,2,5
21000,2,1
19382,2,3
81328,2,3
103200,2,3
25748,2,1
110000,2,2
54500,2,3
44750,1,2
14400,1,3
11700,1,3
54500,2,3
49000,1,2
18000,2,3
24000,2,3
101000,1,2
75000,2,2
25940,2,5
103200,2,3
25500,2,2
28000,2,3
14400,1,3
50000,1,1
19600,2,4
155000,2,2
18000,2,3
18320,2,3
36400,2,4
1440,1,4
57600,2,3
67280,1,1
32000,2,1
79000,1,2
30000,2,3
57600,2,3
54500,2,3
155000,2,2
36400,2,4
64000,1,2
70000,1,1
110000,2,2
57000,2,3
42000,2,3
92000,2,2
43000,1,1
76000,1,3
11700,1,3
112000,1,1
39000,2,3
21000,2,1
50000,1,2
125000,1,1
103200,2,3
38000,2,3
37500,2,1
25940,2,5
97000,1,3
60000,2,3
17400,2,2
40000,2,2
7200,2,3
35000,2,2
19600,2,4
42000,2,3
35000,2,3
1440,1,4
39000,2,3
23400,2,2
209000,1,2
38000,2,3
81328,2,3
38000,2,3
11524,2,3
70000,2,2
42717,2,3
44800,1,3
7000,2,3
18000,1,5
9750,1,4
41000,1,2
11500,2,3
76000,1,3
48000,2,1
58000,2,2
65000,1,2
39000,2,3
25940,2,5
50000,2,2
35000,2,2
19000,2,4
16000,2,1
50000,2,3
92000,1,1
42717,2,3
69600,2,3
40000,1,3
28000,2,3
44000,2,1
15120,2,3
55200,2,3
28000,2,3
24000,2,3
103200,2,3
18000,2,3
18320,2,3
30000,2,3
103200,2,3
36400,2,4
35530,2,4
44000,2,1
50000,1,3
70000,2,2
64000,1,3
35530,2,4
44000,2,1
39000,2,3
15748,2,2
125000,1,1
35000,1,1
18000,2,3
110000,2,2
76000,1,3
115000,1,4
57600,2,3
57600,2,3
103200,2,3
67280,1,1
92000,1,1
1440,1,4
38000,2,3
11500,2,3
25748,2,1
15000,1,2
32000,2,1
40400,1,2
112000,1,1
41000,1,2
84000,2,5
41000,1,3
30000,2,3
101000,1,2
32000,2,1
49000,1,2
35530,2,4
14400,1,3
49000,2,2
81328,2,3
21000,2,1
40000,2,3
84000,1,1
14000,2,3
7800,2,1
65000,1,2
65000,1,2
41800,2,3
18000,1,5
160000,2,1
40000,2,2
41500,1,3
92000,2,2
36400,2,4
55200,2,3
17510,2,3
20000,2,1
78000,2,1
32000,2,1
32000,2,1
5000,1,4
36000,2,2
17510,2,3
12000,1,2
14000,2,3
18000,1,5
